Statute,On e-Laws,Minister(s) Responsible,Ministerial Responsibility (OIC and Gazette Date),Legislative History,Part left unconsolidated and unrepealed by R.S.O. 1990,Repealed on d/m/y,Repealed by
"An Act to amend an Act passed in the 63rd year of Her late Majesty’s reign, Chapter 30 and entitled an Act respecting aid by Land Grant to the Algoma Central Railway Company, S.O. 1905, c. 21","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend an Act respecting the Toronto General Hospital, S.O. 1912, c. 84","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend and repeal certain enactments of the last Session of the Legislature of this Province, S.O. 1877, c. 2","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend and repealed certain enactments of the last Session of the Legislature of this Province, S.O. 1875-6, c. 1","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The Act respecting Aid to Algoma Central and Hudson Bay Railway and Associated Industries at Sault Ste. Marie , S.O. 1906, c. 3","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend the Act respecting the settlement by Arbitration of Accounts between the Dominion of Canada and the Provinces of Ontario and Quebec and between the said two Provinces, S.O. 1901, c. 5","No",,,,"Total","",""
"An Act to amend The Act to Create the Territorial and Provisional District of Temiskaming, S.O. 1913, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend the Act to provide for Development of Water-power at Dog Lake, S.O. 1909, c. 20","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The Act to provide for the appropriation of certain lands for the Volunteers who served in South Africa and the Volunteer Militia who served on the frontier in 1866 , S.O. 1903, c. 3","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The Act to provide for the appropriation of certain lands for the Volunteers who served in South Africa and the Volunteer Militia who served on the frontier in 1866, S.O. 1904, c. 6","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The Act to provide for the Appropriation of certain lands for the Volunteers who served in South Africa and the Volunteer Militia who served on the frontier in 1866, S.O. 1908, c. 19","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend the Act to provide for the appropriation of certain lands for the Volunteers who served in South Africa, and the Volunteer Militia who served on the frontier in 1866, S.O. 1905, c. 8","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The District of Cochrane Act, 1922, S.O. 1925, c. 34","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend the law as to the Limitation of Actions, S.O. 1879, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The Mines Act, 1906, S.O. 1907, c. 13","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The Ontario Housing Act, 1919, S.O. 1920, c. 83","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The Ontario Reformatory Act and to confirm a certain Order-in-Council , S.O. 1914, c. 51","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The Registry Act, S.O. 1914, c. 23","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The Returned Soldiers’ and Sailors’ Land Settlement Act, S.O. 1920, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend the Statute Law, S.O. 1900, c. 17","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend the Statute Law, S.O. 1901, c. 12","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend the Statute Law, S.O. 1902, c. 12","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend the Surrogate Courts Act, S.O. 1918, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to amend The Temiskaming and Northern Ontario Railway Act, S.O. 1912, c. 13","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to apply the Municipal Law to certain Townships in the District of Nipissing, S.O. 1877, c. 30","No",,,,"Total","",""
"An Act to approve and confirm an Agreement between the Commissioners for the Queen Victoria Niagara Falls Park and The Canadian Niagara Power Company, S.O. 1902, 2 Edward VII, c. 11","No",,,,"See R.S.O. 1990, Schedule C","14/12/1995","1995, c.Pr3, s. 3"
"An Act to authorize payment of money in lieu of Railway Aid Certificates in certain cases, S.O. 1885, c. 37","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to authorize the issuing of Scrip for Railway Grants in Certain Cases, S.O. 1879, c. 28","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to authorize the substitution of terminable annuities for Railway Aid Certificates, S.O. 1884, c. 31","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to authorize the transfer of certain Provincial Lands occupied by the Canadian Pacific Railway, S.O. 1896, c. 11","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to confirm a certain agreement made between the Commissioners of the Queen Victoria Niagara Falls Park and the Canadian Niagara Power Company, and to enable the said Company to vary the agreement into practical effect, S.O. 1892, 55 Victoria, c. 8","No",,,,"See R.S.O. 1990, Schedule C","14/12/1995","1995, c.Pr.3, s. 3"
"An Act to confirm a certain Agreement made between the Commissioners of the Queen Victoria Niagara Falls Park and William Mackenzie Pellatt and Frederic Nicholls, etc. S.O. 1905, c. 12","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to confirm an Agreement between the Hydro-Electric Power Commission of Ontario, the City of Toronto and the Toronto Harbour Commissioners, S.O. 1925, c. 25","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to confirm an Agreement between the Toronto Conservatory of Music and Governors of the University of Toronto , S.O. 1919, c. 79","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to confirm an Agreement entered into between His Majesty the King and The Canadian Improvement Company and others, S.O. 1906, c. 32","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to confirm an Agreement relating to Osgoode Street, Toronto, S.O. 1896, c. 8","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to confirm Certain Contracts entered into by The Hydro-Electric Power Commission of Ontario, S.O. 1911, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to confirm the title of the Government of Canada to certain lands and Indian Lands, S.O. 1915, c. 12","No","Minister of Natural Resources and Forestry","1158/2018 (10/11/2018)",,"Total","",""
"An Act to create The Provisional Judicial District of Fort Frances, S.O. 1908, c. 36","No",,,"1909, c. 26, s. 11","s. 2, 16-25","",""
"An Act to create the Provisional Judicial District of Sudbury, S.O. 1907, c. 25","No",,,"1909, c. 26, s. 10","s. 2, 10, 22-24","",""
"An Act to Create the Territorial and Provisional Judicial District of Temiskaming, S.O. 1912, c. 21","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to enable the Executors of the late George Taylor Fulford to make a certain gift out of his Estate for Patriotic Purposes, S.O. 1915, c. 11","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to express the Consent of the Legislative Assembly of the Province of Ontario to an Extension of the Limits of the Province, S.O. 1912, c. 3","No",,,,"Total","",""
"An Act to incorporate the Ontario Co-operative Dairy Products, Limited, S.O. 1922, c. 65","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to incorporate the Town of Kapuskasing, S.O. 1921, c. 36","No",,,,"Total","",""
"An Act to incorporate the University Residence Trustees, S.O. 1905, c. 35","No",,,,"Total","",""
"An Act to make certain Amendments to the Statute Law, S.O. 1897, c. 14","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to make provision for payment of Law Fees in territorial and judicial districts by means of stamps and to amend the Act respecting Law Fees and Trust Funds, S.O. 1871-72, c. 20","No",,,,"s. 3","",""
"An Act to make valid certain sales of land for Taxes in junior counties, and in towns not separated from counties, S.O. 1874, c. 15","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to organize the Municipality of Shuniah and to amend the Acts for establishing Municipal Institutions in unorganized districts, S.O. 1873, c. 50","No",,,,"s. 1-3 (in so far as not inconsistent with 1936, c. 83)","",""
"An Act to provide for Development of Water Power at Dog Lake, S.O. 1908, c. 24","No",,,,"Total","",""
"An Act to provide for the appropriation of certain lands for the Volunteers who served in South Africa and the Volunteer Militia on the frontiers in 1866, S.O. 1901, c. 6","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to provide for the erection of New Buildings for the accommodation of the Provincial Legislature, S.O. 1880, c. 2","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to provide for the establishment of a Hospital for the reclamation and cure of Habitual Drunkards, S.O. 1873, c. 33","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to provide for the final settlement of the Common School Fund, S.O. 1882-83, c. 3","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to regulate Fees of certain officers and others, S.O. 1881, c. 8","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to validate certain By-laws Passed and Contracts made pursuant to “An Act to Provide for the Transmission of Electrical Power to Municipalities”, S.O. 1908, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act to vest certain portions of the former St. Catharines, Thorold and Niagara Falls Road, in the Town of Niagara Falls and Township of Stamford, S.O. 1890, c. 5","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act validating a certain agreement between the University of Toronto and the Corporation of the City of Toronto, S.O. 1889, c. 53","No",,,,"Total","",""
"Anatomy Act, R.S.O. 1990, c. A.21","Yes","Solicitor General","635/2019 (04/05/2019)","1997, c. 39, s. 1-3
2002, c. 17, Sch. F, Table
2002, c. 33, s. 140
2006, c. 19, Sch. C, s. 1 (2)
2016, c. 23, s. 35","","",""
"Anglican Church of Canada Act, 1979, The, S.O. 1979, c. 46","No",,,,"Total","",""
"Animal Health Act, 2009, S.O. 2009, c. 31 ","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","2009, c. 31, s. 67
2018, c. 3, Sch. 5, s. 2 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 2
2019, c. 7, Sch. 17, s. 38
2019, c. 7, Sch. 17, s. 38","","",""
"Animals for Research Act, R.S.O. 1990, c. A.22","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1994, c. 27, s. 9
1997, c. 41, s. 115
1999, c. 12, Sch. A, s. 3
2005, c. 2, s. 2
2006, c. 19, Sch. A, s. 2
2006, c. 19, Sch. C, s. 1 (1)
2009, c. 33, Sch. 1, s. 5
2015, c. 10, s. 9, 10
2017, c. 11, Sch. 3, s. 10","","",""
"Anti-Inflation Agreement Act, 1976, S.O. 1976, c. 61","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Anti-Racism Act, 2017, S.O. 2017, c. 15","Yes","Solicitor General","635/2019 (04/05/2019)","2017, c. 15, s. 16
2017, c. 25, Sch. 9, s. 85 (see 2019, c. 5, Sch. 3, s. 29 (1))
2018, c. 17, Sch. 45, s. 1
2018, c. 6, Sch. 3, s. 2
2019, c. 5, Sch. 3, s. 1","","",""
"Apology Act, 2009, S.O. 2009, c. 3 ","Yes","Attorney General","1143/2018 (10/11/2018)",,"","",""
"Apportionment Act, R.S.O. 1990, c. A.23","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)",,"","",""
"Apprenticeship and Certification Act, 1998, S.O. 1998, c. 22","Yes",,,"2005, c. 24
2006, c. 35, Sch. C, s. 5
2009, c. 22, s. 103
2009, c. 24, s. 28","","08/04/2013","2009, c. 22, s. 103"
"Apprenticeship and Tradesmen’s Qualification Act, The, R.S.O. 1970, c. 24","No",,,"2006, c. 21, Sch. F, s. 98","s. 19","",""
"Approved Impartial Referees and Arbitrators Act, 1961-62, S.O. 1961-62, c. 5","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Arbitration Act, 1991, S.O. 1991, c. 17","Yes","Attorney General","1143/2018 (10/11/2018)","2006, c. 1, s. 1
2006, c. 19, Sch. C, s. 1 (1)
2009, c. 33, Sch. 2, s. 5
2017, c. 2, Sch. 5, s. 13
CTS 13 JL 12 - 1
CTS 13 JL 12 - 2","","",""
"Arbitrations Act, R.S.O. 1990, c. A.24","No",,,,"","01/01/1992","1991, c. 17, s. 58"
"Arboreal Emblem Act, R.S.O. 1990, c. A.25","Yes","Minister of Natural Resources and Forestry","1158/2018 (10/11/2018)",,"","",""
"Architects Act, 1984, S.O. 1984, c. 12","No",,,,"s. 27 (4)","",""
"Architects Act, R.S.O. 1990, c. A.26","Yes","Attorney General","1143/2018 (10/11/2018)","2001, c. 9, Sch. B, s. 1
2006, c. 19, Sch. B, s. 1
2009, c. 33, Sch. 2, s. 6
2009, c. 33, Sch. 6, s. 39
2009, c. 34, Sch. B
2010, c. 15, s. 213
2010, c. 16, Sch. 2, s. 1","","",""
"Architects Act, The, R.S.O. 1960, c. 20","No",,,,"s. 4, 6","",""
"Archives Act, R.S.O. 1990, c. A.27","Yes",,,"1999, c. 12, Sch. S","","01/09/2007","2006, c. 34, Sch. A, s. 30"
"Archives and Recordkeeping Act, 2006, S.O. 2006, c. 34, Sched. A","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","2006, c. 34, Sch. A, s. 29
2009, c. 33, Sch. 6, s. 40
2018, c. 17, Sch. 45, s. 2
2019, c. 7, Sch. 17, s. 39
2019, c. 7, Sch. 17, s. 39
2019, c. 7, Sch. 3
2019, c. 7, Sch. 3","","",""
"Art Gallery of Ontario Act, R.S.O. 1990, c. A.28","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)","1997, c. 26, Sch.
2002, c. 17, Sch. F, Table
2004, c. 8, s. 46, Table
2006, c. 21, Sch. F, s. 103
2017, c. 20, Sch. 8, s. 66","","",""
"Arthur Wishart Act (Franchise Disclosure), 2000, S.O. 2000, c. 3","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","2001, c. 9, Sch. D, s. 1
2009, c. 33, Sch. 10, s. 1","","",""
"Artificial Insemination of Livestock Act, R.S.O. 1990, c. A.29","Yes",,,"1994, c. 27, s. 10","","01/01/2000","1999, c. 12, Sch. A, s. 4"
"Arts Council Act, R.S.O. 1990, c. A.30","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)","2004, c. 17, s. 32
2009, c. 33, Sch. 11, s. 1
2017, c. 20, Sch. 8, s. 67","","",""
"Asian Heritage Act, 2005, S.O. 2005, c. 10 ","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)",,"","",""
"Assessment Act, R.S.O. 1990, c. A.31","Yes","Minister of Finance","1150/2018 (10/11/2018)","1991, c. 11, s. 1-3
1992, c. 17, s. 4
1993, c. 27, Sch.
1994, c. 25, s. 79
1994, c. 27, s. 40
1994, c. 36
1996, c. 32, s. 60
1996, c. 4, s. 43
1997, c. 23, s. 1
1997, c. 29, s. 1-21, 72-73 (But see 1997, c. 43, Sch. F, s. 3; 1998, c. 3, s. 35 and 1999, c. 9, s. 110)
1997, c. 31, s. 143
1997, c. 43, Sch. F, s. 1
1997, c. 43, Sch. G, s. 18
1997, c. 5, s. 1-39 (But see 1997, c. 29, s. 77)
1998, c. 15, Sch. E, s. 1
1998, c. 28, s. 66
1998, c. 3, s. 1-10
1998, c. 33, s. 1-8
1999, c. 6, s. 2
1999, c. 9, s. 11-15
2000, c. 25, s. 1-13
2000, c. 5, s. 6
2001, c. 23, s. 1-4
2001, c. 8, s. 202
2002, c. 1, Sch. C, s. 1
2002, c. 17, Sch. F, Table
2002, c. 22, s. 1-6
2002, c. 23, s. 1
2002, c. 33, s. 141 (But see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2004, c. 23, Sch. C, s. 1
2004, c. 31, Sch. 3
2004, c. 7, s. 1-6
2005, c. 28, Sch. A
2005, c. 5, s. 3
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 32, Sch. C, s. 2
2006, c. 33, Sch. A
2006, c. 34, Sch. D, s. 94
2006, c. 35, Sch. C, s. 135 (3)
2006, c. 7
2007, c. 7, Sch. 1
2008, c. 19, Sch. A
2008, c. 7, Sch. A, s. 1-16
2009, c. 18, Sch. 1
2009, c. 33, Sch. 21, s. 1
2010, c. 26, Sch. 2
2011, c. 9, Sch. 3
2012, c. 8, Sch. 1
2014, c. 11, Sch. 6, s. 1
2014, c. 7, Sch. 1
2015, c. 20, Sch. 2
2015, c. 38, Sch. 1
2016, c. 15, s. 72
2016, c. 37, Sch. 2
2017, c. 14, Sch. 4, s. 1
2017, c. 8, Sch. 2
2018, c. 17, Sch. 2
2018, c. 8, Sch. 1
CTS 9 OC 19 - 1","","",""
"Assessment Amendment Act, 1947, S.O. 1947, c. 3","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Assessment Amendment Act, 1954, The, S.O. 1954, c. 3","No",,,,"s. 13","",""
"Assessment Amendment Act, 1955, S.O. 1955, c. 4","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Assessment Amendment Act, 1970, S.O. 1970, c. 57","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Assessment Amendment Act, 1989, S.O. 1989, c. 42","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Assessment Appeals Procedure Statute Law Amendment Act, 1982, S.O. 1982, c. 40","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Assessment Review Board Act, R.S.O. 1990, c. A.32","Yes","Attorney General","1143/2018 (10/11/2018)","1997, c. 23, s. 2
1997, c. 5, s. 62
1998, c. 33, s. 38
2002, c. 17, Sch. F, Table
2006, c. 19, Sch. B, s. 2
2006, c. 33, Sch. Z.3, s. 3
2006, c. 35, Sch. C, s. 6
2008, c. 7, Sch. A, s. 17
2009, c. 33, Sch. 2, s. 7
2019, c. 7, Sch. 17, s. 40
2019, c. 7, Sch. 17, s. 40","","",""
"Assignments and Preferences Act, R.S.O. 1990, c. A.33","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","1993, c. 27, Sch.
2001, c. 9, Sch. D, s. 14
2007, c. 7, Sch. 7, s. 180
2010, c. 16, Sch. 4, s. 23","","",""
"Athletics Control Act, 1947, S.O. 1947, c. 4","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Athletics Control Act, R.S.O. 1990, c. A.34","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)","1998, c. 18, Sch. E, s. 1-4
2004, c. 19, s. 1
2006, c. 34, s. 2
2007, c. 4, s. 20
2009, c. 33, Sch. 6, s. 41
2019, c. 7, Sch. 9, s. 51
2019, c. 7, Sch. 9, s. 51","","",""
"Athletics Control Amendment Act, 1948, S.O. 1948, c. 6","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Athletics Control Amendment Act, 1949, S.O. 1949, c. 7","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Attracting Investment and Creating Jobs Act, 2012, S.O. 2012, c. 10","Yes","Minister of Economic Development, Job Creation and Trade","2/2019 (02/02/2019)","2017, c. 34, Sch. 46, s. 6","","",""
"Audiology and Speech-Language Pathology Act, 1991, S.O. 1991, c. 19","Yes","Minister of Health","1110/2019 (31/08/2019)","1998, c. 18, Sch. G, s. 24
2007, c. 10, Sch. B, s. 1","","",""
"Auditor General Act, R.S.O. 1990, c. A.35 (formerly Audit Act)","Yes","President of the Treasury Board","1163/2018 (10/11/2018)","1999, c. 11
1999, c. 5, s. 1
2004, c. 17, s. 1-30
2004, c. 20, s. 13
2004, c. 8, s. 46, Table
2006, c. 15
2006, c. 33, Sch. B
2006, c. 35, Sch. C, s. 7
2009, c. 33, Sch. 6, s. 42
2009, c. 34, Sch. J, s. 26
2015, c. 20, Sch. 3
2018, c. 17, Sch. 3
CTS 25 JL 17 - 2","","",""
"Automobile Insurance Rate Stabilization Act, 2003, S.O. 2003, c. 9","Yes","Minister of Finance","1150/2018 (10/11/2018)","2003, c. 9, s. 14
2005, c. 31, Sch. 2
2012, c. 8, Sch. 2
2013, c. 2, Sch. 1
2018, c. 17, Sch. 4","","",""
